time,ph1_1,ph1_2,ph1_3,,,ph3_1,ph3_2,ph3_3,,,ph5_1,ph5_2,ph5_3,,,ph7_1,ph7_2,ph7_3,,,ph9_1,ph9_2,ph9_3,,,ph11_1,ph11_2,ph11_3
0,1600.34,1592.03,1592.869,,,1574.282,1579.025,1586.417,,,1535.539,1533.393,1530.644,,,1535.133,1545.99,1537.877,,,1533.626,1533.689,1535.295,,,1549.57,1566.886,1552.733
0.1,1621.35,1623.486,1615.736,,,1596.748,1580.741,1606.149,,,1551.648,1543.064,1552.701,,,1536.385,1547.695,1549.236,,,1536.427,1544.018,1548.873,,,1567.498,1581.534,1583.113
0.2,1632.034,1639.472,1626.387,,,1598.001,1595.949,1618.348,,,1547.626,1547.832,1557.824,,,1544.878,1558.65,1549.968,,,1544.241,1553.005,1549.763,,,1568.467,1588.623,1597.999
0.3,1642.182,1656.31,1642.836,,,1617.511,1615.735,1627.6,,,1551.022,1558.446,1564.423,,,1556.685,1562.989,1554.137,,,1542.43,1553.228,1555.052,,,1577.03,1594.462,1600.925
0.4,1653.488,1666.996,1655.789,,,1621.672,1625.775,1642.44,,,1546.655,1553.908,1566.647,,,1556.603,1563.933,1564.792,,,1545.559,1552.41,1555.327,,,1582.542,1598.949,1608.697
0.5,1658.713,1673.045,1658.363,,,1635.441,1624.875,1648.642,,,1554.994,1565.476,1563.142,,,1554.813,1565.799,1561.171,,,1551.476,1555.657,1562.682,,,1594.583,1609.457,1622.982
0.6,1673.575,1684.126,1666.476,,,1635.7,1629.763,1660.011,,,1551.285,1566.046,1569.479,,,1549.94,1564.693,1574.093,,,1556.06,1555.21,1563.983,,,1598.43,1625.104,1618.793
0.7,1676.071,1690.127,1672.01,,,1635.468,1643.271,1650.369,,,1551.454,1567.778,1580.727,,,1553.242,1557.554,1576.518,,,1566.332,1554.48,1568.091,,,1602.03,1627.3,1629.943
0.8,1676.723,1699.894,1673.23,,,1638.077,1649.078,1648.023,,,1560.394,1566.203,1568.348,,,1550.877,1565.632,1575.048,,,1565.542,1561.266,1566.708,,,1592.432,1632.157,1632.367
0.9,1681.531,1685.529,1677.355,,,1642.48,1654.73,1658.546,,,1571.426,1571.127,1567.197,,,1563.143,1567.008,1579.693,,,1568.422,1568.947,1566.981,,,1608.894,1625.938,1630.148
1,1683.876,1697.205,1679.844,,,1653.017,1660.193,1659.991,,,1567.422,1582.631,1573.079,,,1555.013,1577.287,1578.767,,,1561.164,1562.158,1572.804,,,1600.659,1642.421,1636.385
1.1,1691.344,1696.464,1691.841,,,1655.537,1661.418,1665.429,,,1572.403,1578.698,1571.945,,,1572.506,1578.93,1594.72,,,1560.338,1562.084,1576.842,,,1615.66,1643.534,1647.382
1.2,1686.715,1698.236,1683.215,,,1657.817,1657.609,1662.557,,,1569.769,1586.906,1574.62,,,1564.308,1570.678,1587.855,,,1568.96,1551.05,1570.81,,,1614.478,1646.594,1647.812
1.3,1694.627,1695.042,1690.948,,,1664.732,1668.806,1663.099,,,1569.747,1579.677,1572.856,,,1573.6,1575.197,1592.307,,,1555.439,1559.615,1569.885,,,1615.719,1647.68,1653.479
1.4,1697.181,1707.507,1693.834,,,1660.145,1665.364,1657.492,,,1580.242,1583.777,1584.579,,,1561.704,1579.244,1594.127,,,1567.659,1571.891,1575.004,,,1618.482,1647.984,1652.249
1.5,1693.16,1714.849,1699.473,,,1664.232,1668.548,1670.147,,,1567.899,1575.548,1574.203,,,1574.601,1585.668,1598.096,,,1563.986,1574.197,1576.299,,,1618.958,1648.076,1654.499
1.6,1701.517,1713.385,1694.112,,,1664.114,1674.423,1669.345,,,1581.272,1567.074,1577.961,,,1565.408,1582.915,1606.646,,,1561.874,1566.458,1575.639,,,1626.162,1648.163,1657.872
1.7,1712.725,1706.045,1694.648,,,1666.07,1671.242,1656.724,,,1594.53,1582.745,1580.864,,,1557.521,1580.328,1603.139,,,1563.042,1572.187,1579.034,,,1622.478,1660.703,1651.306
1.8,1709.129,1717.547,1688.91,,,1672.388,1676.765,1661.813,,,1591.504,1592.901,1588.33,,,1562.825,1582.407,1599.679,,,1561.214,1567.159,1570.594,,,1633.671,1661.591,1667.437
