time,ph1_1,ph1_2,ph1_3,ph3_1,ph3_2,ph3_3,ph5_1,ph5_2,ph5_3,ph7_1,ph7_2,ph7_3,ph9_1,ph9_2,ph9_3,ph11_1,ph11_2,ph11_3
0.0,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005
0.1,0.11591,0.12594,0.11502,0.10933,0.11895,0.11247,0.09904,0.09645,0.10336,0.10622,0.10093,0.11186,0.10817,0.10543,0.1062,0.10726,0.10578,0.10541
0.2,0.13443,0.14257,0.13122,0.1279,0.13788,0.13298,0.11501,0.1119,0.1191,0.11031,0.10745,0.12153,0.11856,0.11737,0.12018,0.12418,0.12233,0.12993
0.3,0.15402,0.15617,0.14263,0.14083,0.13654,0.14265,0.12164,0.11544,0.12775,0.12193,0.11324,0.13495,0.11841,0.12677,0.12971,0.14897,0.12512,0.14304
0.4,0.15968,0.18876,0.15783,0.14539,0.14691,0.15967,0.14397,0.12088,0.13042,0.13143,0.12764,0.1294,0.12578,0.13305,0.13644,0.1568,0.1317,0.15554
0.5,0.17318,0.19097,0.17836,0.15437,0.15768,0.17011,0.13599,0.12271,0.14767,0.12335,0.1329,0.12641,0.13483,0.12602,0.14004,0.16347,0.15752,0.17109
0.6,0.17577,0.21537,0.18713,0.16618,0.17171,0.177,0.13779,0.12664,0.14727,0.13589,0.13334,0.13135,0.14198,0.14031,0.14585,0.16863,0.16386,0.17457
0.7,0.19333,0.21047,0.19267,0.17752,0.18824,0.18199,0.13493,0.12951,0.14144,0.13205,0.13759,0.13008,0.14584,0.14716,0.14455,0.18217,0.1728,0.17453
0.8,0.19745,0.22788,0.18083,0.18882,0.17151,0.18623,0.14109,0.13062,0.13953,0.14202,0.14633,0.13261,0.14018,0.15238,0.13061,0.17664,0.1857,0.17776
0.9,0.20216,0.24555,0.19572,0.18191,0.19352,0.19245,0.13927,0.12909,0.14209,0.14049,0.14863,0.13349,0.13781,0.1474,0.14044,0.2022,0.1865,0.18271
1.0,0.20879,0.25749,0.2034,0.17797,0.19758,0.19875,0.13867,0.13493,0.14333,0.14357,0.14758,0.14745,0.1422,0.14648,0.13589,0.19854,0.18021,0.1791
1.1,0.20153,0.25836,0.20209,0.18647,0.19563,0.19663,0.14726,0.14199,0.14827,0.14364,0.13802,0.14918,0.14669,0.15125,0.13741,0.20179,0.19915,0.18744
1.2,0.21814,0.26297,0.21093,0.19159,0.20714,0.21314,0.14852,0.15405,0.14127,0.14995,0.14365,0.15066,0.14594,0.15137,0.14145,0.20341,0.20048,0.18068
1.3,0.21378,0.24447,0.21227,0.19213,0.20882,0.2127,0.1536,0.14179,0.15047,0.14347,0.15097,0.14918,0.14868,0.15817,0.13542,0.19163,0.19982,0.17756
1.4,0.22282,0.25215,0.2143,0.20294,0.20947,0.22381,0.14775,0.14858,0.15285,0.14858,0.15314,0.1619,0.15173,0.16008,0.14116,0.20525,0.21491,0.17488
1.5,0.21876,0.25038,0.21395,0.21645,0.20921,0.23129,0.14747,0.14489,0.1512,0.14787,0.15235,0.164,0.16463,0.15934,0.14731,0.20863,0.21083,0.18706
1.6,0.21466,0.25218,0.20152,0.22357,0.2023,0.23492,0.16203,0.14378,0.14914,0.15322,0.15426,0.16408,0.16165,0.16827,0.13751,0.20967,0.21826,0.19537
1.7,0.22375,0.25174,0.21981,0.2325,0.20811,0.23351,0.16053,0.15367,0.1545,0.15074,0.15852,0.16299,0.16086,0.16794,0.13952,0.19728,0.2343,0.19712
1.8,0.22838,0.24996,0.21959,0.23493,0.21227,0.22768,0.1698,0.15714,0.14975,0.1577,0.16821,0.15638,0.16965,0.17407,0.14348,0.20974,0.22031,0.19803
1.9,0.20826,0.24276,0.22739,0.23252,0.20417,0.22245,0.1635,0.15311,0.15515,0.16438,0.16749,0.15583,0.16471,0.18523,0.14525,0.22088,0.22395,0.20554
2.0,0.21379,0.2537,0.23362,0.23783,0.21196,0.21026,0.17038,0.15482,0.15785,0.17087,0.16623,0.1603,0.17041,0.18193,0.1567,0.23409,0.23431,0.198
2.1,0.21217,0.27107,0.20557,0.23437,0.21899,0.23551,0.16453,0.15637,0.15658,0.15902,0.16482,0.15702,0.17654,0.17306,0.14992,0.23288,0.23961,0.20518
2.2,0.22973,0.26339,0.2201,0.21382,0.21653,0.23349,0.16647,0.16454,0.16178,0.17321,0.17079,0.16613,0.17669,0.16792,0.15386,0.2394,0.21992,0.19999
2.3,0.23972,0.27186,0.22054,0.2183,0.21882,0.22247,0.16156,0.1659,0.15774,0.16794,0.16894,0.16646,0.1816,0.16774,0.15965,0.21926,0.22625,0.20634
2.4,0.24561,0.27098,0.22048,0.20307,0.22316,0.23688,0.17018,0.16468,0.1531,0.17352,0.16588,0.16417,0.18216,0.16872,0.16059,0.21786,0.22819,0.2126
2.5,0.26291,0.26323,0.23103,0.19964,0.22915,0.24487,0.16502,0.17227,0.15714,0.17111,0.16938,0.16517,0.17888,0.17208,0.16598,0.21842,0.22557,0.21701
2.6,0.26008,0.26591,0.22309,0.19873,0.21839,0.22743,0.16636,0.16913,0.14372,0.16395,0.16931,0.17039,0.17057,0.18263,0.16256,0.21282,0.21906,0.21067
2.7,0.25736,0.27624,0.21801,0.21148,0.22405,0.21721,0.16795,0.16768,0.14723,0.17446,0.17721,0.1783,0.17504,0.17862,0.16499,0.22007,0.2249,0.21586
2.8,0.2429,0.2712,0.22541,0.21367,0.21599,0.21931,0.1665,0.17035,0.15061,0.17813,0.18015,0.18097,0.16351,0.18325,0.15642,0.22646,0.24026,0.20939
2.9,0.24076,0.25516,0.22623,0.22552,0.21645,0.21237,0.16425,0.18016,0.15884,0.17644,0.19479,0.17562,0.17199,0.18071,0.16775,0.22667,0.21305,0.21154
3.0,0.23937,0.25018,0.22965,0.20461,0.22835,0.20839,0.16206,0.17848,0.16506,0.17465,0.18406,0.17963,0.18124,0.17874,0.17651,0.23102,0.22195,0.22271
3.1,0.24249,0.25159,0.22602,0.21252,0.22054,0.20903,0.16545,0.17311,0.15314,0.17733,0.18997,0.18411,0.17157,0.18748,0.16464,0.219,0.23095,0.22417
3.2,0.24375,0.25344,0.22445,0.22467,0.22383,0.21181,0.16277,0.17519,0.1577,0.18542,0.1854,0.18142,0.17072,0.17874,0.15884,0.23834,0.22847,0.23346
3.3,0.24873,0.24978,0.23397,0.22709,0.215,0.20912,0.15839,0.1712,0.16492,0.19095,0.18375,0.17435,0.17916,0.18752,0.15663,0.23383,0.24101,0.23595
3.4,0.24869,0.2545,0.23829,0.21932,0.2202,0.20743,0.17232,0.17577,0.15887,0.18495,0.19019,0.1841,0.18824,0.18855,0.16345,0.23687,0.23362,0.23009
3.5,0.24657,0.24748,0.24379,0.21973,0.21587,0.2105,0.17417,0.17869,0.16388,0.18406,0.1877,0.19343,0.18682,0.1956,0.16267,0.23279,0.22763,0.22421
3.6,0.25536,0.26384,0.23966,0.22302,0.21929,0.22359,0.17145,0.17841,0.16991,0.1797,0.19602,0.19554,0.18983,0.18283,0.17483,0.24243,0.22884,0.23734
3.7,0.27365,0.25896,0.25481,0.21216,0.21582,0.22546,0.17455,0.17703,0.17924,0.17637,0.1893,0.19513,0.19032,0.19209,0.16572,0.23962,0.22006,0.24992
3.8,0.27281,0.26453,0.24302,0.22018,0.21671,0.21387,0.17459,0.17041,0.17507,0.18018,0.18433,0.19681,0.19097,0.18872,0.17404,0.2479,0.23669,0.2396
3.9,0.26766,0.26765,0.24838,0.21366,0.22278,0.21099,0.1727,0.16246,0.16687,0.18752,0.18327,0.19552,0.18994,0.18894,0.16401,0.24307,0.25135,0.24909
4.0,0.25557,0.25737,0.24059,0.21338,0.21754,0.22505,0.17586,0.16831,0.16898,0.18331,0.18058,0.19196,0.20266,0.18907,0.16718,0.2439,0.25162,0.23897
4.1,0.24835,0.26231,0.24592,0.22249,0.2189,0.23166,0.17866,0.17754,0.1761,0.17636,0.19352,0.19276,0.20506,0.17708,0.17187,0.23991,0.25329,0.24367
4.2,0.23117,0.28339,0.24366,0.23612,0.20989,0.24364,0.17708,0.17776,0.1802,0.18562,0.18447,0.19389,0.20368,0.18597,0.16739,0.24298,0.26456,0.25648
4.3,0.23657,0.28988,0.23947,0.21771,0.20801,0.23664,0.18134,0.17621,0.18332,0.18782,0.18725,0.18429,0.19629,0.19049,0.16325,0.25784,0.25907,0.24155
4.4,0.23067,0.29184,0.24512,0.22561,0.21242,0.23389,0.17941,0.17685,0.17415,0.18555,0.19739,0.1797,0.20219,0.18966,0.16813,0.25928,0.26417,0.24708
4.5,0.25037,0.2999,0.24257,0.22815,0.22113,0.23069,0.18818,0.17329,0.18281,0.18222,0.1966,0.18186,0.19167,0.19789,0.16463,0.2442,0.25911,0.2496
4.6,0.24867,0.29149,0.23776,0.23606,0.21999,0.24109,0.19049,0.18558,0.18429,0.18175,0.18917,0.18617,0.19575,0.18866,0.16969,0.25623,0.2593,0.26051
4.7,0.23538,0.3035,0.24618,0.24165,0.21775,0.22644,0.18379,0.19166,0.18192,0.18688,0.18801,0.19217,0.19836,0.18821,0.16947,0.26243,0.25706,0.2532
4.8,0.25154,0.30549,0.24649,0.24689,0.21277,0.23325,0.18467,0.189,0.18284,0.19215,0.19059,0.1969,0.19597,0.19052,0.1604,0.26794,0.25748,0.26235
4.9,0.25465,0.30488,0.24579,0.23473,0.21624,0.23787,0.18701,0.19731,0.18285,0.1877,0.19696,0.19352,0.20209,0.19514,0.17271,0.25749,0.25401,0.26144
5.0,0.23984,0.2928,0.24607,0.21777,0.2253,0.24331,0.1898,0.19141,0.17998,0.19833,0.19297,0.18643,0.19642,0.18716,0.16402,0.26317,0.26298,0.26776
5.1,0.26214,0.29957,0.2438,0.2239,0.23596,0.23978,0.19508,0.19282,0.19005,0.19724,0.17902,0.18742,0.18974,0.19167,0.17615,0.26224,0.27026,0.2728
5.2,0.25909,0.30924,0.24769,0.22329,0.23036,0.23617,0.19494,0.19192,0.18566,0.19311,0.17782,0.18842,0.19122,0.20504,0.167,0.24923,0.25729,0.27639
5.3,0.27449,0.2972,0.23284,0.20957,0.23527,0.23258,0.19329,0.19077,0.18711,0.19507,0.19123,0.19981,0.18572,0.20107,0.16713,0.25249,0.25104,0.28646
5.4,0.26359,0.28822,0.2392,0.20688,0.24517,0.24723,0.18966,0.19346,0.19152,0.1949,0.18609,0.19653,0.18987,0.19735,0.17021,0.26374,0.26498,0.27864
5.5,0.2669,0.30069,0.24559,0.20684,0.23878,0.24805,0.1842,0.19977,0.19289,0.19032,0.18794,0.19041,0.19186,0.18894,0.17208,0.27149,0.27264,0.27293
5.6,0.25408,0.30341,0.24303,0.20648,0.23265,0.24592,0.18592,0.1808,0.1946,0.198,0.18503,0.19313,0.19108,0.19319,0.16854,0.27662,0.28443,0.278
5.7,0.23501,0.30202,0.2531,0.20966,0.24643,0.24083,0.20001,0.19306,0.19006,0.18875,0.18896,0.19181,0.18407,0.19453,0.16738,0.27577,0.27635,0.27316
5.8,0.23418,0.30303,0.24583,0.20357,0.24192,0.242,0.20163,0.20831,0.18751,0.18802,0.18061,0.20765,0.18728,0.18354,0.16947,0.28366,0.27514,0.28595
5.9,0.24668,0.30301,0.25587,0.22441,0.2413,0.24761,0.19639,0.19494,0.19001,0.196,0.18261,0.215,0.19343,0.18226,0.1672,0.2781,0.27865,0.28156
6.0,0.24314,0.30687,0.24629,0.21583,0.24731,0.23769,0.20256,0.21407,0.19592,0.1943,0.1796,0.21287,0.18931,0.17826,0.17101,0.2673,0.26538,0.28806
6.1,0.24251,0.27368,0.2477,0.21122,0.24555,0.23889,0.20128,0.21299,0.18798,0.19143,0.19146,0.21384,0.1882,0.18173,0.16995,0.28028,0.26466,0.29926
6.2,0.23866,0.29498,0.25992,0.2294,0.24306,0.243,0.20695,0.21086,0.19003,0.19921,0.19846,0.22059,0.19225,0.17732,0.16958,0.27058,0.26867,0.28248
6.3,0.26049,0.30525,0.25782,0.2189,0.25568,0.23948,0.21286,0.21425,0.19503,0.19544,0.19045,0.22263,0.18226,0.17568,0.17532,0.28221,0.27243,0.2805
6.4,0.24617,0.31514,0.26181,0.22216,0.26401,0.24051,0.21433,0.21383,0.18589,0.18723,0.20028,0.21379,0.18854,0.17963,0.17852,0.28802,0.26528,0.27012
6.5,0.23833,0.31278,0.24834,0.22588,0.25483,0.24151,0.20667,0.20877,0.17833,0.20249,0.20176,0.22718,0.19537,0.17958,0.17721,0.28233,0.26274,0.28342
6.6,0.2594,0.31279,0.25294,0.22366,0.27119,0.23728,0.20672,0.2133,0.18086,0.20165,0.20579,0.21356,0.19132,0.18015,0.17364,0.28445,0.26168,0.28049
6.7,0.25554,0.31891,0.2441,0.21989,0.26188,0.24517,0.20241,0.20524,0.19196,0.19764,0.20064,0.2205,0.18861,0.18028,0.17327,0.28403,0.25409,0.27765
6.8,0.25648,0.30673,0.24219,0.22272,0.24425,0.24154,0.20311,0.19773,0.18969,0.19683,0.20423,0.2162,0.19395,0.18312,0.18007,0.28033,0.25952,0.28333
6.9,0.24607,0.30759,0.24821,0.22842,0.27107,0.23803,0.20164,0.19826,0.19492,0.19702,0.19834,0.20968,0.19261,0.18917,0.1736,0.2869,0.26843,0.27835
7.0,0.24147,0.30733,0.25155,0.23286,0.25467,0.23872,0.2013,0.19813,0.19618,0.20351,0.19631,0.20586,0.19933,0.19234,0.17832,0.27866,0.26261,0.27081
7.1,0.2494,0.30723,0.24757,0.22787,0.25904,0.26777,0.19638,0.20299,0.19946,0.19936,0.20619,0.21185,0.20675,0.18711,0.17828,0.27951,0.26545,0.27344
7.2,0.23679,0.30044,0.24527,0.2317,0.2583,0.27482,0.19766,0.21447,0.19658,0.20136,0.19366,0.20608,0.19777,0.18338,0.17909,0.28905,0.26183,0.27611
7.3,0.2328,0.28756,0.24227,0.22583,0.24421,0.27941,0.1933,0.21083,0.20427,0.20237,0.19954,0.21425,0.20202,0.17818,0.17699,0.29216,0.26357,0.27425
7.4,0.24782,0.27689,0.24707,0.23454,0.25123,0.29147,0.21155,0.20817,0.19696,0.20171,0.2019,0.21909,0.20373,0.18462,0.17178,0.28377,0.25282,0.27478
7.5,0.24669,0.26891,0.26833,0.23447,0.24561,0.28607,0.20452,0.21224,0.20654,0.19344,0.20443,0.21134,0.2125,0.18988,0.18456,0.28204,0.25385,0.26121
7.6,0.23429,0.2759,0.25673,0.2204,0.24629,0.27299,0.20048,0.21042,0.20277,0.19839,0.21283,0.21454,0.21386,0.18677,0.17398,0.29208,0.26401,0.25635
7.7,0.24175,0.28096,0.254,0.22628,0.24384,0.27961,0.18471,0.20306,0.19852,0.19964,0.20485,0.20921,0.19606,0.18341,0.19009,0.2911,0.264,0.25636
7.8,0.24424,0.28625,0.26252,0.23062,0.24054,0.27875,0.19425,0.20336,0.20081,0.20775,0.21055,0.21848,0.19531,0.18082,0.18403,0.29287,0.26363,0.26934
7.9,0.23857,0.28875,0.26808,0.22908,0.23098,0.28191,0.20646,0.20309,0.20187,0.2007,0.21075,0.21558,0.21228,0.18535,0.19161,0.28809,0.25892,0.25911
8.0,0.25563,0.27958,0.25602,0.22906,0.24866,0.28019,0.19467,0.20911,0.20746,0.21071,0.20181,0.21288,0.20973,0.19057,0.17836,0.28425,0.25974,0.26744
8.1,0.25523,0.28838,0.25513,0.22605,0.25101,0.2861,0.1991,0.20563,0.20154,0.21215,0.20937,0.20534,0.19534,0.17628,0.17627,0.29436,0.25235,0.26469
8.2,0.24706,0.29046,0.24196,0.2308,0.25278,0.28464,0.2062,0.20896,0.19937,0.20598,0.19572,0.20983,0.2038,0.18562,0.17981,0.28299,0.24933,0.2768
8.3,0.26676,0.2848,0.23239,0.22407,0.26368,0.27294,0.19286,0.21889,0.20599,0.21077,0.19857,0.21519,0.19752,0.19001,0.18275,0.27696,0.25438,0.2728
8.4,0.26611,0.28297,0.23726,0.21718,0.2601,0.27088,0.19793,0.21927,0.2075,0.21293,0.19834,0.21003,0.20518,0.19189,0.18659,0.29219,0.25679,0.27708
8.5,0.27429,0.27525,0.23784,0.20723,0.2595,0.2759,0.20616,0.20986,0.20581,0.21582,0.18493,0.20721,0.20303,0.1952,0.18867,0.29408,0.25398,0.26881
8.6,0.26908,0.26551,0.26151,0.21773,0.27815,0.2743,0.21151,0.2061,0.20538,0.21669,0.18941,0.20796,0.21192,0.2023,0.18891,0.2976,0.25321,0.2755
8.7,0.2594,0.28432,0.24285,0.22263,0.26619,0.26298,0.22117,0.21326,0.20736,0.22427,0.18686,0.21177,0.19846,0.20408,0.18803,0.2958,0.25061,0.286
8.8,0.26982,0.28501,0.25374,0.21582,0.27709,0.26156,0.21649,0.20869,0.21475,0.21768,0.17984,0.21034,0.20251,0.21072,0.18422,0.2901,0.25774,0.30472
8.9,0.26482,0.29396,0.28424,0.21595,0.27598,0.26534,0.22185,0.20918,0.2092,0.21925,0.19801,0.21307,0.20365,0.1986,0.18658,0.30318,0.25899,0.28607
9.0,0.26234,0.28111,0.26847,0.2171,0.26334,0.26051,0.21856,0.2119,0.20721,0.22578,0.1894,0.2192,0.20514,0.19757,0.17626,0.28733,0.2586,0.30277
9.1,0.2693,0.29491,0.26843,0.21709,0.24665,0.25507,0.22273,0.21029,0.21119,0.22042,0.1854,0.22108,0.20645,0.19826,0.18227,0.28133,0.26257,0.28666
9.2,0.27193,0.29631,0.26098,0.22052,0.24382,0.26281,0.21768,0.2145,0.20621,0.22173,0.18988,0.22348,0.20801,0.19413,0.19345,0.2976,0.25999,0.28696
9.3,0.27044,0.29128,0.27398,0.21746,0.24987,0.2671,0.20269,0.20458,0.21188,0.21465,0.18337,0.21781,0.2146,0.19594,0.1915,0.2923,0.27726,0.28944
9.4,0.27357,0.28713,0.26918,0.2334,0.25822,0.26795,0.21636,0.19754,0.20252,0.20985,0.1798,0.21352,0.22001,0.20245,0.18959,0.28538,0.266,0.29257
9.5,0.26416,0.29203,0.25967,0.21644,0.24941,0.25724,0.22847,0.20809,0.20847,0.20722,0.17838,0.21095,0.19729,0.20319,0.19928,0.28702,0.26033,0.30327
9.6,0.25606,0.28567,0.26332,0.21958,0.25333,0.2605,0.22501,0.20083,0.21074,0.21379,0.18229,0.21718,0.20292,0.19989,0.19376,0.2733,0.25835,0.29644
9.7,0.27754,0.28947,0.26934,0.22224,0.25715,0.2671,0.22195,0.20419,0.21462,0.21819,0.18713,0.22186,0.20671,0.18799,0.20288,0.28571,0.2561,0.29774
