time,ph1_1,ph1_2,ph1_3,ph3_1,ph3_2,ph3_3,ph5_1,ph5_2,ph5_3,ph7_1,ph7_2,ph7_3,ph9_1,ph9_2,ph9_3,ph11_1,ph11_2,ph11_3
0.0,0.0005,0.0005,0.0005,0.00051,0.00051,0.00051,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005
0.1,0.258,0.26403,0.22739,0.20092,0.21576,0.2119,0.16484,0.16805,0.16794,0.19513,0.18747,0.1809,0.24596,0.19778,0.1858,0.21007,0.18136,0.19154
0.2,0.35855,0.32054,0.33943,0.2623,0.2507,0.24628,0.19644,0.17484,0.20853,0.23116,0.19697,0.20916,0.26122,0.23775,0.2128,0.27361,0.20669,0.24879
0.3,0.43173,0.38703,0.39342,0.31051,0.28712,0.26503,0.20512,0.21287,0.20957,0.23546,0.22139,0.21418,0.30254,0.2537,0.24503,0.27555,0.23788,0.27054
0.4,0.43218,0.42907,0.40204,0.33499,0.29751,0.33052,0.21066,0.21703,0.21278,0.25373,0.2397,0.23277,0.29582,0.248,0.27087,0.27339,0.29367,0.29429
0.5,0.43346,0.46559,0.48682,0.32208,0.35342,0.35717,0.22046,0.22168,0.23413,0.28378,0.26751,0.24443,0.28248,0.28147,0.25518,0.27017,0.31626,0.33247
0.6,0.43016,0.55542,0.53147,0.34045,0.37466,0.40026,0.2087,0.24314,0.23348,0.27651,0.28459,0.25647,0.28813,0.2733,0.27561,0.28568,0.32074,0.32616
0.7,0.45626,0.57224,0.55518,0.3246,0.45167,0.44733,0.23331,0.22885,0.25664,0.27667,0.28914,0.27736,0.32598,0.28005,0.27189,0.28742,0.31823,0.37355
0.8,0.49067,0.6232,0.6223,0.35538,0.48831,0.48903,0.22194,0.23515,0.25173,0.29241,0.29263,0.2656,0.3417,0.28181,0.29686,0.31052,0.37929,0.37914
0.9,0.50324,0.62147,0.68358,0.34547,0.49509,0.47969,0.24229,0.24225,0.22607,0.29633,0.35913,0.28547,0.3528,0.29193,0.28185,0.30312,0.4095,0.3761
1.0,0.53444,0.64878,0.72538,0.35798,0.54605,0.48395,0.26261,0.24915,0.23823,0.30805,0.33884,0.2856,0.35172,0.28524,0.27768,0.31297,0.42115,0.3691
1.1,0.55226,0.67313,0.74323,0.3715,0.57298,0.4938,0.25656,0.22132,0.2566,0.32254,0.31055,0.31711,0.34132,0.2648,0.29877,0.33186,0.38056,0.38249
1.2,0.56058,0.68251,0.81789,0.37895,0.55009,0.50839,0.26134,0.2314,0.25241,0.32564,0.34019,0.3402,0.32721,0.28548,0.29523,0.35124,0.37785,0.41528
1.3,0.53266,0.66433,0.83878,0.37794,0.56996,0.57805,0.2653,0.22152,0.25912,0.31182,0.29441,0.32824,0.3324,0.32139,0.31096,0.38448,0.39293,0.42632
1.4,0.55368,0.64172,0.89381,0.37554,0.57866,0.58467,0.24267,0.22636,0.27379,0.32185,0.32205,0.31731,0.34122,0.33301,0.32354,0.41883,0.39978,0.4037
