time,ph1_1,ph1_2,ph1_3,ph3_1,ph3_2,ph3_3,ph5_1,ph5_2,ph5_3,ph7_1,ph7_2,ph7_3,ph9_1,ph9_2,ph9_3,ph11_1,ph11_2,ph11_3
0.0,0.00051,0.00051,0.00051,0.0005,0.0005,0.0005,0.00051,0.00051,0.00051,0.00051,0.00051,0.00051,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005
0.1,0.31163,0.27285,0.31143,0.3363,0.24198,0.29154,0.19633,0.24116,0.18885,0.24315,0.2064,0.17552,0.21719,0.22342,0.24027,0.22853,0.2625,0.24656
0.2,0.46241,0.35864,0.41941,0.36461,0.30163,0.46497,0.23629,0.2803,0.21698,0.24692,0.20976,0.21632,0.27199,0.24281,0.30519,0.27396,0.29558,0.29859
0.3,0.54468,0.38675,0.44879,0.42515,0.36123,0.53638,0.24501,0.31929,0.237,0.26518,0.27256,0.24594,0.27345,0.25284,0.28839,0.33452,0.34287,0.344
0.4,0.67349,0.45547,0.52456,0.45182,0.45922,0.5648,0.25759,0.32895,0.29395,0.26057,0.29107,0.26738,0.26515,0.25476,0.34583,0.34091,0.4049,0.37516
0.5,0.7273,0.5744,0.56741,0.55608,0.48683,0.57283,0.31787,0.34656,0.26106,0.32959,0.31121,0.3101,0.28111,0.29871,0.34465,0.40943,0.39201,0.38833
0.6,0.77556,0.60765,0.54569,0.60752,0.51225,0.61431,0.33556,0.32817,0.2751,0.29063,0.29622,0.34006,0.31276,0.33647,0.32874,0.4603,0.4279,0.34542
0.7,0.74309,0.63189,0.6058,0.65695,0.57253,0.60567,0.32783,0.34499,0.29639,0.29785,0.26077,0.33002,0.32251,0.33617,0.31691,0.43398,0.50061,0.41035
0.8,0.7755,0.65127,0.67693,0.7128,0.59836,0.63885,0.31355,0.3685,0.30694,0.32238,0.2825,0.32177,0.30831,0.34734,0.30732,0.41094,0.5128,0.41663
0.9,0.82039,0.71023,0.72056,0.69617,0.57972,0.63913,0.30521,0.35818,0.31591,0.34127,0.29715,0.31737,0.35166,0.36383,0.2993,0.41574,0.52508,0.45054
1.0,0.82016,0.74708,0.78288,0.82904,0.63178,0.68055,0.34681,0.40628,0.33394,0.32183,0.25465,0.34054,0.32622,0.31482,0.33366,0.41611,0.58349,0.48929
1.1,0.93598,0.77148,0.76003,0.81423,0.62561,0.67939,0.33184,0.41371,0.32996,0.33506,0.29543,0.37944,0.33007,0.32053,0.34383,0.42196,0.56065,0.48236
1.2,0.97285,0.79766,0.75826,0.9005,0.63362,0.73493,0.34229,0.42508,0.33049,0.29961,0.3214,0.38556,0.36099,0.33892,0.36041,0.41431,0.57535,0.49874
1.3,0.98997,0.81336,0.7344,0.87108,0.648,0.71768,0.34974,0.46437,0.31585,0.33038,0.32384,0.39267,0.34557,0.33365,0.36715,0.43673,0.64202,0.52757
1.4,1.06679,0.89369,0.74645,0.89935,0.70991,0.69005,0.38748,0.44606,0.35455,0.31809,0.32234,0.38514,0.36827,0.32388,0.38727,0.40883,0.71531,0.51571
1.5,1.07173,0.95615,0.8305,0.88831,0.71219,0.71187,0.38002,0.41544,0.3712,0.32294,0.34569,0.40238,0.37279,0.33844,0.38887,0.3796,0.70919,0.48526
1.6,1.13074,1.00742,0.89907,0.94548,0.65018,0.67132,0.37171,0.41899,0.37889,0.33832,0.32909,0.42681,0.43383,0.40735,0.42284,0.33571,0.73223,0.49065
1.7,1.11904,1.02116,0.87468,0.94192,0.61598,0.67961,0.38958,0.42249,0.3866,0.3573,0.36981,0.39725,0.43887,0.43101,0.42365,0.33918,0.8216,0.51969
1.8,1.12755,1.06158,0.86025,1.02009,0.60059,0.72124,0.35806,0.40991,0.40138,0.38481,0.36762,0.38152,0.44323,0.41843,0.4702,0.35668,0.80771,0.53204
1.9,1.10329,1.08787,0.86479,0.98954,0.57956,0.66864,0.35736,0.41592,0.40069,0.36431,0.36652,0.42638,0.42008,0.38671,0.48748,0.42072,0.77801,0.50353
2.0,1.08241,1.14918,0.8811,1.03295,0.59447,0.71367,0.37512,0.40808,0.35516,0.34202,0.39136,0.36796,0.40437,0.38771,0.51402,0.40905,0.73482,0.50632
2.1,1.20792,1.16878,0.89819,1.0053,0.6128,0.70446,0.39334,0.39435,0.32974,0.37373,0.3907,0.42486,0.44638,0.39445,0.52309,0.40477,0.72814,0.53485
2.2,1.27192,1.21104,1.00851,1.02021,0.64135,0.67929,0.39033,0.35362,0.3238,0.42306,0.41822,0.4614,0.42958,0.39868,0.51628,0.37819,0.80108,0.52863
2.3,1.32322,1.23065,1.08496,1.02585,0.61957,0.6731,0.38424,0.3619,0.31837,0.39156,0.41864,0.47763,0.41003,0.38031,0.52184,0.3785,0.76248,0.52564
2.4,1.249,1.20129,1.08334,1.06193,0.60882,0.73137,0.38579,0.39621,0.33222,0.41357,0.39956,0.46965,0.42194,0.42407,0.5264,0.43177,0.76855,0.57861
2.5,1.25836,1.22639,1.12877,1.07847,0.67885,0.72552,0.4161,0.37685,0.37889,0.41795,0.3794,0.4577,0.41906,0.42085,0.53116,0.4035,0.75123,0.52548
2.6,1.25202,1.13168,1.14683,1.18841,0.63864,0.72204,0.42634,0.3847,0.37984,0.44926,0.37806,0.45733,0.42687,0.4474,0.5486,0.38347,0.7573,0.55871
2.7,1.21492,1.08168,1.06272,1.26109,0.72368,0.67619,0.42103,0.38871,0.4176,0.45245,0.3919,0.47396,0.40173,0.46548,0.55632,0.37996,0.79988,0.51614
2.8,1.24144,1.03039,1.05613,1.37328,0.7689,0.69102,0.41953,0.35537,0.40084,0.44622,0.38076,0.47681,0.42081,0.46711,0.56312,0.40614,0.8108,0.5257
2.9,1.24113,1.00299,1.11407,1.41735,0.79913,0.69239,0.42978,0.34384,0.42023,0.43727,0.38672,0.44498,0.40645,0.50454,0.58868,0.43582,0.85501,0.51099
3.0,1.19791,1.02872,1.11246,1.4516,0.79509,0.68326,0.41042,0.36023,0.38202,0.4474,0.37897,0.44895,0.44056,0.4829,0.58559,0.40129,0.86313,0.52543
3.1,1.20013,0.98441,1.08934,1.4433,0.79875,0.70889,0.42159,0.36669,0.39836,0.47881,0.39796,0.43799,0.43483,0.48143,0.57179,0.40746,0.83527,0.56389
3.2,1.23625,1.05443,1.08444,1.52024,0.7648,0.67407,0.43659,0.36421,0.3878,0.45716,0.43247,0.45158,0.43692,0.48439,0.60807,0.36475,0.85977,0.52726
3.3,1.19211,1.0586,1.00222,1.52834,0.7801,0.72745,0.45502,0.38015,0.36001,0.49245,0.42459,0.4739,0.4151,0.46053,0.63756,0.37672,0.79844,0.53349
3.4,1.25132,1.15211,1.03833,1.50127,0.81828,0.72183,0.46615,0.39298,0.3607,0.49926,0.39816,0.47948,0.4152,0.49349,0.63621,0.37361,0.77909,0.51242
3.5,1.22415,1.21584,1.13866,1.40818,0.8317,0.75507,0.44689,0.39879,0.35609,0.53939,0.41185,0.49622,0.43701,0.52189,0.60151,0.3765,0.75074,0.51308
3.6,1.26817,1.17755,1.09568,1.42854,0.79042,0.77568,0.45399,0.41326,0.40074,0.53634,0.39775,0.49652,0.43965,0.52178,0.61145,0.39825,0.77906,0.48468
3.7,1.25425,1.18066,1.05775,1.46854,0.80092,0.7433,0.44748,0.42423,0.4046,0.55431,0.39199,0.40132,0.44727,0.47135,0.56146,0.36024,0.81876,0.48714
3.8,1.3735,1.14936,1.09373,1.45066,0.78864,0.76627,0.45937,0.41891,0.43457,0.5798,0.4059,0.38526,0.45932,0.4795,0.60229,0.37575,0.7877,0.49378
3.9,1.32902,1.10051,1.13887,1.45771,0.80633,0.82988,0.47012,0.40871,0.4134,0.59645,0.44413,0.4002,0.48243,0.51067,0.67303,0.38593,0.78944,0.49697
4.0,1.34778,1.11475,1.17002,1.51914,0.85628,0.78848,0.46317,0.39061,0.39481,0.59053,0.43086,0.38648,0.46451,0.48583,0.63565,0.39222,0.80407,0.47125
4.1,1.40946,1.1711,1.19227,1.43743,0.87236,0.76484,0.45953,0.38991,0.38393,0.55931,0.4585,0.43134,0.48252,0.469,0.65522,0.38068,0.82358,0.50711
4.2,1.36095,1.16986,1.29988,1.34906,0.84597,0.77708,0.44227,0.41179,0.37526,0.5902,0.44473,0.42145,0.50629,0.48575,0.66275,0.37434,0.80098,0.51427
4.3,1.38035,1.12354,1.25113,1.33397,0.86772,0.78415,0.44727,0.38389,0.36499,0.55455,0.41011,0.4393,0.52142,0.47443,0.671,0.39241,0.82629,0.49317
4.4,1.43473,1.12004,1.26257,1.39727,0.81051,0.81198,0.45694,0.39372,0.41999,0.55261,0.42297,0.43417,0.55263,0.47987,0.68631,0.38839,0.77944,0.49914
4.5,1.35778,1.10988,1.26422,1.33135,0.78459,0.81061,0.46882,0.37886,0.41842,0.61244,0.43438,0.46685,0.51704,0.51969,0.64934,0.38035,0.7809,0.52015
4.6,1.37027,1.10702,1.26639,1.37092,0.83006,0.83977,0.48914,0.3821,0.39116,0.58489,0.45446,0.48087,0.51051,0.52395,0.61337,0.3897,0.77729,0.50835
4.7,1.3743,1.14766,1.28045,1.38433,0.80819,0.91583,0.4791,0.37559,0.41011,0.53898,0.45445,0.44172,0.50967,0.51279,0.61162,0.36289,0.78934,0.51929
4.8,1.43169,1.17851,1.28496,1.38243,0.85267,0.97053,0.46515,0.41243,0.41234,0.52274,0.45215,0.44559,0.51211,0.49339,0.64208,0.38068,0.84343,0.49872
4.9,1.49955,1.24583,1.30041,1.3863,0.8067,0.97668,0.48284,0.40552,0.42957,0.56781,0.45211,0.4743,0.51428,0.46052,0.62837,0.39386,0.83513,0.53332
5.0,1.40306,1.18193,1.24426,1.38426,0.8019,0.94411,0.47805,0.41941,0.4032,0.59799,0.43332,0.4807,0.49584,0.48675,0.60379,0.41627,0.82038,0.5193
5.1,1.3755,1.26797,1.29917,1.34722,0.75754,0.93111,0.48999,0.4146,0.47318,0.52333,0.42613,0.44167,0.50705,0.50328,0.63404,0.41972,0.8628,0.5216
5.2,1.29039,1.27759,1.30809,1.38973,0.72253,0.9254,0.48659,0.40725,0.44084,0.54367,0.40265,0.43972,0.49337,0.49599,0.64433,0.43194,0.92956,0.50708
5.3,1.32401,1.26941,1.3977,1.36716,0.71037,0.88865,0.48753,0.40219,0.42656,0.52836,0.41393,0.45913,0.50165,0.50295,0.66525,0.44096,0.88864,0.51722
5.4,1.31547,1.31565,1.31832,1.34468,0.72383,0.89533,0.49788,0.4107,0.46622,0.55017,0.41618,0.44052,0.49043,0.50238,0.65978,0.43042,0.97575,0.50674
5.5,1.31916,1.29522,1.2702,1.44552,0.7789,0.86964,0.47333,0.39987,0.44524,0.56169,0.42533,0.45996,0.504,0.50624,0.66176,0.43242,0.91343,0.49636
5.6,1.28443,1.27929,1.34762,1.51898,0.75881,0.86627,0.49431,0.39547,0.45489,0.55767,0.42826,0.45024,0.46547,0.49666,0.63605,0.43036,0.95046,0.52907
5.7,1.29857,1.27536,1.35068,1.47355,0.8103,0.87494,0.48974,0.41571,0.48082,0.54502,0.43364,0.43919,0.46858,0.50594,0.64444,0.44129,0.96192,0.51377
5.8,1.32852,1.32481,1.40148,1.44216,0.83583,0.93245,0.47307,0.41375,0.46362,0.52705,0.41021,0.40618,0.46,0.52074,0.6189,0.4447,0.92138,0.49674
5.9,1.30883,1.45556,1.44726,1.52091,0.79937,0.92005,0.46986,0.39497,0.46108,0.5224,0.4085,0.40242,0.43995,0.50691,0.64052,0.45251,0.94067,0.55128
6.0,1.3226,1.46082,1.46529,1.5044,0.84793,0.96892,0.48942,0.39514,0.47171,0.53735,0.39464,0.42568,0.47197,0.49752,0.64249,0.45003,0.94338,0.54711
6.1,1.39636,1.48056,1.45791,1.45633,0.86871,0.93535,0.47043,0.3951,0.44167,0.57989,0.37087,0.40025,0.47798,0.50715,0.67177,0.43018,0.92939,0.55714
6.2,1.42316,1.49378,1.49782,1.43346,0.79891,0.91765,0.47577,0.39606,0.42565,0.55651,0.38264,0.3976,0.51564,0.4702,0.66079,0.44105,0.92121,0.55152
6.3,1.50763,1.47127,1.53023,1.39009,0.81431,0.93214,0.49272,0.40964,0.42988,0.5348,0.38563,0.40704,0.50215,0.51798,0.65879,0.43612,0.97606,0.5405
6.4,1.53848,1.53365,1.47605,1.39803,0.84288,0.99423,0.48086,0.39563,0.43206,0.57729,0.39452,0.42008,0.51401,0.51723,0.67501,0.43016,0.90757,0.54168
6.5,1.5007,1.60296,1.48572,1.38492,0.89026,0.97014,0.45999,0.40349,0.41397,0.56389,0.40704,0.37786,0.50214,0.56228,0.68997,0.42947,0.88823,0.58239
6.6,1.52989,1.57956,1.47469,1.36323,0.84639,0.91865,0.47926,0.42534,0.40214,0.56552,0.40467,0.38941,0.51989,0.5396,0.73393,0.41694,0.88945,0.59555
6.7,1.55642,1.46535,1.4318,1.37315,0.82952,0.96267,0.49213,0.43803,0.40662,0.5696,0.4233,0.40566,0.49963,0.52222,0.70461,0.41388,0.86526,0.59356
