time,ph1_1,ph1_2,ph1_3,,,ph3_1,ph3_2,ph3_3,,,ph5_1,ph5_2,ph5_3,,,ph7_1,ph7_2,ph7_3,,,ph9_1,ph9_2,ph9_3,,,ph11_1,ph11_2,ph11_3
0,1644.384,1645.622,1658.841,,,1598.833,1622.791,1616.628,,,1566.101,1577.739,1579.99,,,1562.715,1571.904,1569.015,,,1572.943,1566.49,1568.201,,,1594.69,1587.673,1603.508
0.1,1682.395,1671.772,1693.554,,,1637.547,1638.493,1638.493,,,1571.728,1604.659,1582.971,,,1579.846,1597.169,1585.523,,,1581.491,1569.288,1577.983,,,1596.38,1633.387,1624.692
0.2,1669.497,1694.262,1714.237,,,1644.398,1646.34,1656.888,,,1576.236,1601.031,1587.68,,,1592.66,1592.583,1600.217,,,1566.227,1578.436,1573.44,,,1615.89,1624.93,1629.126
0.3,1679.79,1714.904,1716.556,,,1668.672,1654.895,1668.099,,,1584.437,1607.107,1605.348,,,1587.809,1592.538,1599.214,,,1581.091,1591.338,1573.294,,,1628.727,1653.221,1639.967
0.4,1691.589,1711.506,1715.818,,,1686.356,1652.682,1667.109,,,1580.175,1620.182,1606.563,,,1606.636,1601.249,1594.552,,,1579.323,1597.302,1583.218,,,1644.749,1653.194,1652.323
0.5,1693.573,1713.659,1743.637,,,1687.137,1668.178,1667.652,,,1581.237,1619.07,1593.055,,,1606.028,1599.589,1599.515,,,1586.347,1587.437,1598.402,,,1646.611,1645.318,1644.086
0.6,1708.485,1716.345,1733.921,,,1693.632,1673.743,1668.889,,,1588.499,1635.57,1596.965,,,1598.803,1605.288,1586.458,,,1580.297,1601.481,1598.427,,,1659.765,1647.875,1671.773
0.7,1720.1,1713.57,1736.675,,,1696.961,1671.254,1674.743,,,1584.018,1621.832,1602.374,,,1613.802,1595.698,1580.128,,,1579.073,1599.851,1584.291,,,1641.883,1642.36,1670.636
0.8,1722.012,1722.754,1750.154,,,1686.602,1659.964,1660.141,,,1589.494,1621.623,1604.521,,,1619.673,1596.209,1595.123,,,1575.582,1604.054,1590.337,,,1658.482,1647.321,1665.211
0.9,1723.499,1722.071,1743.102,,,1681.19,1666.167,1677.126,,,1595.395,1627.375,1603.071,,,1603.692,1604.964,1598.167,,,1590.872,1608.788,1591.488,,,1655.111,1636.962,1670.861
1,1719.49,1717.152,1738.886,,,1684.965,1654.871,1663.648,,,1586.201,1629.236,1603.367,,,1610.414,1591.29,1591.259,,,1575.414,1588.433,1594.994,,,1639.365,1655.849,1655.264
1.1,1720.436,1730.717,1742.202,,,1687.389,1654.744,1665.641,,,1581.718,1630.51,1585.174,,,1616.225,1602.58,1607.271,,,1594.741,1596.618,1585.686,,,1645.883,1658.719,1641.234
1.2,1720.51,1726.557,1734.505,,,1690.305,1671.826,1669.052,,,1576.621,1616.773,1597.194,,,1614.854,1601.843,1599.346,,,1591.505,1600.923,1572.004,,,1644.063,1660.101,1640.114
1.3,1702.395,1711.85,1730.155,,,1695.926,1665.887,1679.465,,,1576.101,1614.373,1587.363,,,1610.789,1599.437,1611.325,,,1587.261,1606.477,1578.519,,,1637.24,1670.626,1652.292
1.4,1702.879,1711.583,1736.562,,,1673.521,1665.742,1666.562,,,1578.627,1609.224,1572.831,,,1623.455,1600.822,1598.305,,,1588.513,1596.419,1578.91,,,1647.023,1665.58,1651.102
1.5,1701.545,1713.161,1725.814,,,1688.016,1653.33,1675.667,,,1586.765,1614.267,1588.626,,,1634.486,1594.46,1607.601,,,1591.158,1588.169,1577.553,,,1641.886,1659.497,1645.131
1.6,1697.27,1708.231,1707.713,,,1683.954,1664.701,1668.912,,,1574.273,1607.357,1582.833,,,1629.08,1582.134,1602.796,,,1593.202,1599.662,1587.493,,,1648.645,1665.441,1645.033
1.7,1700.029,1711.131,1718.695,,,1688.874,1647.319,1674.63,,,1586.777,1607.77,1587.297,,,1634.376,1577.178,1609.005,,,1581.343,1581.815,1589.458,,,1637.317,1671.425,1657.918
1.8,1718.9,1703.44,1708.554,,,1687.469,1652.324,1669.079,,,1578.094,1598.864,1586.605,,,1625.462,1584.291,1618.042,,,1592.544,1572.341,1587.754,,,1633.212,1660.585,1642.325
1.9,1703.945,1712.953,1714.493,,,1688.464,1661.813,1676.093,,,1576.692,1601.66,1595.697,,,1626.506,1587.074,1606.182,,,1586.238,1584.916,1601.972,,,1631.948,1656.213,1644.632
2,1703.215,1720.237,1701.948,,,1686.764,1647.36,1671.464,,,1580.003,1595.009,1580.892,,,1622.35,1587.867,1617.344,,,1571.303,1587.623,1604.435,,,1637.637,1651.572,1647.477
