time,ph1_1,ph1_2,ph1_3,ph3_1,ph3_2,ph3_3,ph5_1,ph5_2,ph5_3,ph7_1,ph7_2,ph7_3,ph9_1,ph9_2,ph9_3,ph11_1,ph11_2,ph11_3
3.2,0.46536,0.3996,0.43162,0.39508,0.38562,0.31857,0.36073,0.29398,0.28175,0.30239,0.36141,0.25747,0.29934,0.29024,0.33796,0.35448,0.3665,0.36791
3.3,0.45625,0.41244,0.4385,0.37268,0.40102,0.3178,0.34529,0.30845,0.29135,0.30253,0.34411,0.2356,0.31187,0.26879,0.3382,0.36115,0.37214,0.37714
3.4,0.45491,0.41408,0.43779,0.40429,0.38567,0.31047,0.34015,0.31717,0.3005,0.32565,0.37039,0.24047,0.3062,0.28546,0.34871,0.36461,0.37022,0.36368
3.5,0.46955,0.38287,0.41553,0.39542,0.41771,0.31491,0.31909,0.31599,0.28486,0.31014,0.37288,0.23024,0.29321,0.29527,0.37109,0.36197,0.37168,0.37077
3.6,0.47012,0.35902,0.43085,0.39238,0.43419,0.33619,0.3143,0.30427,0.28073,0.31749,0.35882,0.23389,0.30553,0.30112,0.36586,0.36983,0.36574,0.36858
3.7,0.4738,0.38159,0.42725,0.39421,0.43031,0.36047,0.31136,0.29388,0.28693,0.31644,0.32931,0.25616,0.3024,0.29203,0.37849,0.36253,0.34463,0.37213
3.8,0.48489,0.41131,0.41259,0.395,0.41774,0.35422,0.33487,0.30536,0.27792,0.32695,0.34897,0.25387,0.30657,0.29214,0.35795,0.37064,0.34769,0.35897
3.9,0.51468,0.39431,0.41435,0.42088,0.441,0.36977,0.32849,0.29151,0.28458,0.32116,0.33808,0.2442,0.30159,0.29642,0.3778,0.37947,0.36038,0.3847
4.0,0.49106,0.37039,0.42902,0.42079,0.40746,0.39557,0.35252,0.30819,0.29216,0.30572,0.32116,0.25161,0.27848,0.28654,0.38625,0.35949,0.36704,0.39347
4.1,0.49737,0.42355,0.41857,0.39771,0.37898,0.36975,0.35911,0.30618,0.28127,0.29181,0.33804,0.25132,0.27721,0.3139,0.37484,0.37148,0.35915,0.38568
4.2,0.50718,0.41583,0.43359,0.38574,0.43231,0.38251,0.35513,0.31439,0.29509,0.30845,0.3378,0.26797,0.29006,0.28565,0.38753,0.34199,0.35735,0.41602
4.3,0.5002,0.39813,0.49927,0.38691,0.40048,0.40498,0.3436,0.31394,0.28216,0.30333,0.33767,0.25468,0.29394,0.27761,0.3672,0.35724,0.3666,0.42343
4.4,0.50077,0.41485,0.449,0.39453,0.38795,0.38249,0.3634,0.3077,0.27591,0.29519,0.33348,0.25835,0.30596,0.32014,0.37216,0.3519,0.37723,0.40059
4.5,0.47642,0.40229,0.44485,0.41512,0.38374,0.37936,0.37036,0.29887,0.27013,0.31041,0.31873,0.25947,0.30877,0.31562,0.37722,0.37484,0.37597,0.39142
4.6,0.48834,0.40674,0.4654,0.39245,0.40633,0.37807,0.35858,0.31789,0.27072,0.32628,0.31424,0.25171,0.27871,0.30173,0.39651,0.38531,0.37441,0.43379
4.7,0.4943,0.38755,0.46861,0.38943,0.39911,0.38774,0.32999,0.32184,0.26672,0.29098,0.3187,0.26842,0.3012,0.30861,0.38344,0.36929,0.35029,0.43157
4.8,0.50015,0.3977,0.45183,0.39627,0.39582,0.38108,0.33908,0.3118,0.27762,0.29933,0.33119,0.27727,0.31643,0.29903,0.38152,0.37222,0.36131,0.43302
