time,ph1_1,ph1_2,ph1_3,ph3_1,ph3_2,ph3_3,ph5_1,ph5_2,ph5_3,ph7_1,ph7_2,ph7_3,ph9_1,ph9_2,ph9_3,ph11_1,ph11_2,ph11_3
0.0,0.0005,0.0005,0.0005,0.00051,0.00051,0.00051,0.00051,0.00051,0.00051,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005
0.1,0.29718,0.32083,0.3026,0.2471,0.37586,0.27787,0.21732,0.23695,0.23935,0.21373,0.25794,0.23218,0.22841,0.24239,0.23187,0.25563,0.26331,0.31933
0.2,0.51374,0.41525,0.39157,0.32353,0.49355,0.36075,0.23434,0.27948,0.26158,0.27483,0.2614,0.22423,0.28056,0.24596,0.27574,0.30227,0.32958,0.39895
0.3,0.55847,0.53615,0.47451,0.40247,0.58133,0.33173,0.28305,0.33485,0.31968,0.29142,0.27775,0.23323,0.29165,0.30321,0.3254,0.3342,0.38104,0.43482
0.4,0.59407,0.57345,0.53163,0.52539,0.64536,0.39396,0.2786,0.33381,0.34626,0.32563,0.30764,0.27872,0.31035,0.31321,0.31107,0.34806,0.38116,0.39915
0.5,0.60827,0.6622,0.57121,0.62333,0.66478,0.40798,0.27979,0.31576,0.37108,0.33477,0.31268,0.25045,0.3311,0.32878,0.36144,0.34685,0.38987,0.43925
0.6,0.68034,0.72769,0.5897,0.58799,0.67097,0.42716,0.34905,0.32225,0.35115,0.32059,0.34734,0.29265,0.34972,0.3454,0.35514,0.35222,0.42079,0.47118
0.7,0.70919,0.83569,0.61125,0.5891,0.78206,0.47294,0.39335,0.33371,0.34642,0.32087,0.35814,0.32949,0.3631,0.36676,0.38302,0.39321,0.41866,0.46166
0.8,0.75401,0.86338,0.61841,0.52041,0.72747,0.56205,0.41564,0.33247,0.36076,0.37928,0.38441,0.3493,0.38678,0.42209,0.40036,0.45526,0.50104,0.44176
0.9,0.81213,0.92341,0.62769,0.50375,0.76024,0.52812,0.4059,0.40655,0.36684,0.39386,0.37809,0.34405,0.36702,0.46348,0.42429,0.45794,0.54427,0.43141
1.0,0.84886,0.95261,0.71482,0.51597,0.76446,0.55629,0.4537,0.3882,0.36991,0.3934,0.39248,0.33882,0.39758,0.47448,0.46046,0.42321,0.49214,0.47596
1.1,0.82959,1.02366,0.7527,0.49746,0.70189,0.60244,0.43308,0.43849,0.36214,0.39659,0.38584,0.35757,0.42685,0.44736,0.42993,0.51311,0.53631,0.50535
1.2,0.86583,1.0655,0.79829,0.51357,0.76414,0.64045,0.38592,0.40786,0.38482,0.44737,0.35135,0.39956,0.44691,0.47664,0.42985,0.52699,0.52018,0.45621
1.3,0.97187,1.0844,0.77654,0.50067,0.75746,0.66684,0.40896,0.45079,0.38912,0.51824,0.33846,0.44859,0.45788,0.50977,0.43612,0.55646,0.5594,0.47723
1.4,0.89795,1.10011,0.7916,0.52206,0.70011,0.74653,0.40326,0.42656,0.43134,0.52138,0.37728,0.41331,0.51151,0.53174,0.42774,0.5335,0.51861,0.52429
1.5,0.92873,1.12506,0.80521,0.50048,0.65714,0.69759,0.44469,0.50906,0.41594,0.46748,0.36089,0.41208,0.45035,0.48584,0.40688,0.56944,0.48493,0.49995
1.6,0.95498,1.13014,0.83013,0.52049,0.69373,0.64064,0.47857,0.51552,0.40451,0.51884,0.37086,0.39613,0.42592,0.5186,0.42523,0.57823,0.51161,0.46928
1.7,1.00373,1.29219,0.82318,0.62998,0.76022,0.72479,0.40821,0.52043,0.4371,0.57497,0.37862,0.40099,0.44364,0.49833,0.44521,0.55508,0.53396,0.4825
1.8,0.95341,1.40752,0.83441,0.62976,0.79448,0.87015,0.42737,0.49402,0.45077,0.55625,0.36794,0.46539,0.40116,0.54915,0.45181,0.53854,0.56239,0.45631
1.9,1.03765,1.44383,0.89505,0.6527,0.84205,0.87787,0.46516,0.54733,0.43376,0.55963,0.4254,0.43174,0.41166,0.52613,0.50173,0.60431,0.5638,0.52537
2.0,0.99417,1.42366,0.91241,0.57816,0.85083,0.97283,0.47596,0.58272,0.41706,0.58374,0.42074,0.49664,0.41746,0.54591,0.49276,0.56302,0.49611,0.4867
2.1,1.04383,1.37213,0.92506,0.60593,0.87181,0.92961,0.46485,0.55065,0.44293,0.59539,0.46427,0.45437,0.42313,0.56543,0.4958,0.53979,0.50394,0.49447
2.2,1.09682,1.45127,0.85957,0.61353,0.92571,0.95585,0.47003,0.51459,0.45386,0.5896,0.42962,0.45471,0.45635,0.55594,0.49976,0.60932,0.48354,0.46032
2.3,1.08479,1.39289,0.91665,0.62225,1.00105,0.90696,0.45886,0.51666,0.4572,0.61257,0.40046,0.48007,0.4265,0.60121,0.53343,0.67842,0.47117,0.51861
2.4,1.15213,1.38243,0.9105,0.59621,0.98393,0.96552,0.43937,0.56622,0.46096,0.54036,0.42311,0.52342,0.42116,0.64018,0.46807,0.67565,0.48795,0.51847
2.5,1.14102,1.48967,0.88125,0.62447,0.93315,0.95143,0.49933,0.59368,0.48173,0.58186,0.42424,0.50945,0.43399,0.59794,0.47948,0.72757,0.49006,0.47071
2.6,1.15298,1.50638,0.84687,0.72162,0.94207,0.95645,0.50197,0.58939,0.43607,0.58815,0.4318,0.51659,0.4612,0.57043,0.47961,0.70772,0.49757,0.49564
2.7,1.1571,1.56537,0.84797,0.72175,0.89474,0.91021,0.4776,0.58352,0.42271,0.57898,0.43924,0.47753,0.4436,0.52972,0.44461,0.7502,0.53581,0.51446
2.8,1.2223,1.61074,0.80756,0.65938,0.98437,0.87059,0.54018,0.57453,0.44394,0.6218,0.47134,0.50191,0.4527,0.56302,0.44535,0.69502,0.55028,0.54919
2.9,1.20521,1.66797,0.86357,0.65799,0.95815,0.92843,0.54379,0.57461,0.39192,0.60142,0.4786,0.489,0.45678,0.58855,0.40912,0.67648,0.52123,0.55466
3.0,1.15269,1.74051,0.9804,0.60786,1.02801,1.01008,0.56205,0.56106,0.46677,0.55744,0.50245,0.49295,0.41749,0.60085,0.43302,0.61031,0.58531,0.51276
3.1,1.1478,1.76401,0.96935,0.6589,0.99687,1.04402,0.56144,0.52745,0.42242,0.58266,0.51054,0.47865,0.43859,0.5761,0.44692,0.64868,0.60074,0.5122
3.2,1.2271,1.82248,1.05465,0.67943,1.02325,1.0638,0.64272,0.58866,0.43003,0.61359,0.47686,0.44785,0.48646,0.57214,0.43066,0.63645,0.56857,0.52434
3.3,1.09134,1.98478,1.05066,0.65938,0.98482,1.11355,0.5645,0.55662,0.42329,0.58154,0.43944,0.48726,0.48918,0.57106,0.42831,0.64656,0.55137,0.58053
3.4,1.1221,2.04501,1.01004,0.70139,0.95954,1.041,0.53741,0.57424,0.42227,0.57463,0.46844,0.47757,0.51089,0.63959,0.46311,0.72025,0.53824,0.59573
3.5,1.20263,2.11714,0.97383,0.72949,1.04615,1.08655,0.51751,0.5866,0.43662,0.5675,0.47912,0.46081,0.46682,0.60186,0.49713,0.76343,0.52741,0.61011
3.6,1.23218,2.21192,0.9895,0.74387,1.04345,1.14019,0.49246,0.54836,0.48672,0.57593,0.45646,0.49033,0.47974,0.58258,0.47215,0.75159,0.54777,0.55345
3.7,1.36627,2.26538,0.97363,0.69547,1.11205,1.23328,0.4579,0.53905,0.4231,0.60591,0.47822,0.55614,0.46701,0.58461,0.51369,0.77171,0.51278,0.58013
3.8,1.3747,2.30476,0.97019,0.63871,1.12145,1.33817,0.51842,0.52462,0.40654,0.62367,0.48684,0.5469,0.49944,0.57172,0.50452,0.76303,0.49468,0.62473
