time,ph1_1,ph1_2,ph1_3,,,ph3_1,ph3_2,ph3_3,,,ph5_1,ph5_2,ph5_3,,,ph7_1,ph7_2,ph7_3,,,ph9_1,ph9_2,ph9_3,,,ph11_1,ph11_2,ph11_3
0,1673.459,1673.003,1667.349,,,1641.268,1637.845,1618.217,,,1578.975,1579.031,1573.541,,,1575.378,1566.505,1572.839,,,1580.149,1571.93,1577.656,,,1618.798,1621.669,1601.307
0.1,1703.608,1706.692,1699.505,,,1672.054,1670.165,1654.146,,,1581.574,1581.678,1561.602,,,1581.278,1574.609,1584.449,,,1589.985,1602.62,1574.449,,,1628.102,1640.148,1636.561
0.2,1720.012,1721.02,1705.436,,,1680.817,1676.686,1659.562,,,1587.573,1595.771,1569.653,,,1593.389,1587.833,1595.146,,,1596.813,1599.784,1598.214,,,1624.363,1647.277,1643.8
0.3,1719.043,1721.689,1704.535,,,1685.858,1687.9,1655.508,,,1579.268,1586.767,1570.642,,,1610.921,1598.144,1591.154,,,1598.387,1603.582,1589.873,,,1635.15,1648.313,1654.369
0.4,1714.753,1742.703,1708.421,,,1685.701,1692.023,1673.322,,,1598.423,1577.682,1575.844,,,1598.357,1600.275,1584.604,,,1610.587,1610.624,1591.012,,,1635.541,1666.448,1661.716
0.5,1710.673,1723.22,1704.318,,,1687.786,1690.955,1668.958,,,1592.606,1571.947,1573.443,,,1595.152,1585.998,1584.174,,,1599.64,1619.582,1594.246,,,1646.12,1673.193,1680.498
0.6,1720.452,1722.003,1706.955,,,1681.351,1694.182,1660.184,,,1576.38,1567.9,1580.122,,,1576.561,1601.759,1586.305,,,1603.066,1610.806,1595.528,,,1650.108,1664.841,1684.19
0.7,1716.116,1707.144,1713.755,,,1687.741,1706.77,1677.962,,,1591.723,1573.438,1581.777,,,1576.389,1599.101,1592.939,,,1624.69,1604.493,1591.119,,,1641.324,1682.071,1693.559
0.8,1717.581,1716.146,1722.885,,,1661.797,1681.795,1654.922,,,1577.441,1574.708,1576.031,,,1576.356,1600.112,1594.344,,,1614.273,1613.587,1609.649,,,1642.074,1682.077,1687.067
0.9,1720.827,1712.865,1714.375,,,1677.85,1671.772,1647.518,,,1596.68,1575.428,1588.124,,,1585.593,1593.811,1600.549,,,1620.136,1619.64,1619.532,,,1635.03,1673.87,1687.704
1,1716.721,1704.035,1722.873,,,1663.453,1672.511,1637.443,,,1580.871,1569.605,1584.651,,,1589.534,1587.165,1581.258,,,1612.984,1611.335,1613.996,,,1639.449,1677.301,1679.967
1.1,1722.778,1697.679,1704.1,,,1679.305,1666.851,1637.137,,,1579.85,1574.741,1591.954,,,1579.113,1589.552,1586.429,,,1620.75,1602.017,1623.281,,,1632.484,1663.306,1676.574
1.2,1709.022,1711.215,1709.925,,,1663.672,1658.948,1630.783,,,1568.354,1563.322,1596.58,,,1583.783,1604.954,1590.716,,,1600.304,1595.679,1600.76,,,1634.062,1660.553,1679.889
