time,ph1_1,ph1_2,ph1_3,ph3_1,ph3_2,ph3_3,ph5_1,ph5_2,ph5_3,ph7_1,ph7_2,ph7_3,ph9_1,ph9_2,ph9_3,ph11_1,ph11_2,ph11_3
3.2,0.33018,0.33571,0.3229,0.26508,0.28732,0.29323,0.2222,0.23136,0.22829,0.25462,0.2635,0.20826,0.19784,0.19126,0.23194,0.33738,0.29583,0.27993
3.3,0.32669,0.3349,0.3245,0.27153,0.29243,0.31862,0.23949,0.23821,0.22257,0.25579,0.26312,0.2168,0.2096,0.19883,0.2322,0.35201,0.28924,0.27829
3.4,0.31708,0.32129,0.30933,0.28271,0.29574,0.32058,0.24388,0.23337,0.22681,0.24091,0.27429,0.19348,0.20121,0.19984,0.23249,0.34917,0.27526,0.27756
3.5,0.28778,0.33412,0.31954,0.26045,0.28658,0.30132,0.25221,0.22089,0.22322,0.22796,0.26391,0.2037,0.20488,0.19065,0.23634,0.33182,0.28571,0.28029
3.6,0.29378,0.32278,0.32115,0.26428,0.28984,0.28588,0.25429,0.22369,0.2291,0.2318,0.26735,0.21029,0.1959,0.19017,0.24542,0.34746,0.28337,0.28795
3.7,0.30245,0.33189,0.32379,0.27911,0.29245,0.284,0.25386,0.23184,0.22612,0.24018,0.25663,0.20997,0.20266,0.18914,0.25229,0.34015,0.28664,0.30118
3.8,0.30295,0.32199,0.3362,0.28583,0.28625,0.29525,0.24803,0.22806,0.22581,0.22694,0.25989,0.20566,0.20658,0.18604,0.25108,0.32029,0.27036,0.2938
3.9,0.31049,0.31952,0.32329,0.27831,0.26271,0.29834,0.25697,0.22144,0.24096,0.22463,0.2744,0.20642,0.21223,0.19748,0.24514,0.33215,0.2808,0.28929
4.0,0.31058,0.33057,0.35082,0.28357,0.27294,0.30816,0.25414,0.22695,0.23435,0.23301,0.2663,0.21163,0.20839,0.20835,0.23445,0.32029,0.29215,0.28756
4.1,0.33623,0.32908,0.33506,0.2762,0.2906,0.29629,0.25199,0.23337,0.23342,0.24045,0.25684,0.21373,0.21302,0.21604,0.23747,0.32603,0.28238,0.29063
4.2,0.31798,0.31547,0.33888,0.28126,0.28351,0.30897,0.25081,0.21549,0.22817,0.24596,0.26653,0.22593,0.22456,0.2156,0.23322,0.33063,0.28071,0.28249
4.3,0.30938,0.31014,0.34354,0.30173,0.28484,0.31605,0.26678,0.22387,0.22721,0.25011,0.24652,0.21986,0.21844,0.21622,0.24212,0.31191,0.29094,0.2888
4.4,0.31791,0.31719,0.31163,0.28769,0.27426,0.30507,0.2647,0.24298,0.22739,0.2443,0.27621,0.21113,0.20558,0.21627,0.25438,0.31896,0.27215,0.2993
4.5,0.32207,0.32095,0.34994,0.29996,0.28318,0.31204,0.27605,0.23422,0.23795,0.2702,0.27001,0.2052,0.20334,0.2256,0.23488,0.32334,0.27593,0.31722
4.6,0.30874,0.30613,0.36945,0.30241,0.28588,0.30112,0.26522,0.23893,0.232,0.2807,0.27099,0.21738,0.20963,0.23018,0.23648,0.34583,0.27321,0.32538
4.7,0.3032,0.3331,0.3445,0.28838,0.28358,0.30359,0.25045,0.23138,0.23802,0.27562,0.2763,0.21849,0.20762,0.22666,0.23941,0.34896,0.27849,0.32381
4.8,0.3048,0.32423,0.34077,0.29719,0.27839,0.30452,0.26531,0.23718,0.23874,0.26985,0.27059,0.22046,0.19113,0.22884,0.2423,0.37302,0.27045,0.30042
4.9,0.30914,0.33759,0.33948,0.29579,0.2896,0.30311,0.2701,0.23287,0.23089,0.2786,0.26029,0.21489,0.20237,0.22898,0.23522,0.35559,0.27721,0.29369
5.0,0.29251,0.33398,0.34015,0.28065,0.26338,0.30777,0.28817,0.22938,0.23556,0.27262,0.25424,0.21841,0.19714,0.22706,0.23467,0.34881,0.2791,0.30361
5.1,0.28389,0.33228,0.33791,0.28913,0.26441,0.31321,0.28081,0.23485,0.24769,0.27612,0.27176,0.21338,0.20677,0.22358,0.2424,0.3598,0.2978,0.31688
5.2,0.29434,0.33836,0.3354,0.30664,0.26585,0.27515,0.28231,0.24786,0.24218,0.27891,0.25415,0.21979,0.21202,0.23357,0.25078,0.35679,0.28325,0.31283
5.3,0.29639,0.32319,0.35327,0.291,0.26229,0.30008,0.28415,0.24095,0.23281,0.28566,0.25855,0.2213,0.20321,0.22985,0.24998,0.38135,0.29165,0.32489
5.4,0.29324,0.34421,0.36532,0.26539,0.2443,0.28428,0.27313,0.23673,0.23372,0.27477,0.25053,0.22293,0.20887,0.22413,0.24808,0.40795,0.29598,0.3192
5.5,0.3171,0.31926,0.35451,0.28852,0.26906,0.28744,0.27099,0.24278,0.2381,0.29045,0.25039,0.22096,0.21761,0.2248,0.25048,0.38864,0.29054,0.32165
5.6,0.31537,0.32485,0.3384,0.29798,0.26786,0.29728,0.26845,0.25347,0.23452,0.29315,0.24964,0.22016,0.20833,0.22892,0.26104,0.38385,0.30504,0.33247
5.7,0.33139,0.31257,0.34813,0.29107,0.28027,0.29723,0.27456,0.25265,0.23948,0.29571,0.24306,0.22932,0.20915,0.23608,0.26704,0.38594,0.31677,0.31407
5.8,0.30148,0.31798,0.35506,0.2961,0.26964,0.29289,0.27704,0.24659,0.23654,0.29735,0.25024,0.22598,0.21853,0.22895,0.27013,0.39131,0.31189,0.32369
5.9,0.32061,0.31699,0.34077,0.28754,0.26815,0.29201,0.27496,0.23934,0.23575,0.28564,0.24918,0.23555,0.21378,0.2262,0.27087,0.37982,0.30658,0.34313
6.0,0.30261,0.33401,0.38334,0.29196,0.28297,0.29921,0.27776,0.24869,0.23318,0.29042,0.25985,0.23309,0.21265,0.22553,0.26913,0.36304,0.3054,0.3339
6.1,0.31249,0.33763,0.37326,0.28921,0.28258,0.30093,0.2771,0.24934,0.23314,0.26218,0.26385,0.24401,0.20585,0.23198,0.27131,0.37185,0.30945,0.32025
6.2,0.31421,0.33986,0.34761,0.27799,0.25615,0.31509,0.27724,0.24385,0.24387,0.25599,0.2551,0.23307,0.21097,0.23652,0.277,0.36875,0.30213,0.31503
6.3,0.31251,0.32848,0.36025,0.29211,0.26279,0.302,0.29336,0.25256,0.24354,0.27106,0.26086,0.24176,0.21341,0.23574,0.27985,0.34351,0.31065,0.32117
6.4,0.30757,0.32641,0.3869,0.30918,0.27774,0.31266,0.27825,0.24612,0.23784,0.27484,0.25079,0.24504,0.20619,0.23422,0.25897,0.34122,0.31215,0.33373
6.5,0.31079,0.32329,0.38226,0.29303,0.27889,0.31353,0.26676,0.25215,0.23564,0.27229,0.24474,0.25555,0.20891,0.23447,0.24921,0.34058,0.3172,0.31783
6.6,0.30581,0.31708,0.36977,0.31565,0.26598,0.33301,0.27419,0.24244,0.2279,0.28851,0.2643,0.2503,0.20701,0.22836,0.24885,0.34397,0.31353,0.31378
6.7,0.29893,0.32457,0.34091,0.3245,0.25605,0.31142,0.26763,0.25266,0.24496,0.2804,0.27219,0.26752,0.2053,0.22538,0.25445,0.35793,0.31025,0.32332
6.8,0.30514,0.32588,0.34763,0.32981,0.26294,0.30595,0.25377,0.25729,0.23678,0.27495,0.27019,0.24652,0.21674,0.22775,0.24993,0.34829,0.31267,0.31992
6.9,0.31215,0.32882,0.34147,0.31203,0.27094,0.31334,0.26085,0.24983,0.25539,0.28999,0.26467,0.25479,0.22182,0.23502,0.24812,0.35811,0.32222,0.32261
7.0,0.30386,0.31961,0.34245,0.31463,0.26223,0.31805,0.2496,0.26403,0.27032,0.27839,0.26593,0.24877,0.22726,0.22886,0.26047,0.32851,0.31601,0.32932
7.1,0.32591,0.33525,0.35237,0.30727,0.26282,0.30556,0.25235,0.25368,0.25741,0.2714,0.26317,0.25061,0.22553,0.2251,0.25641,0.35826,0.3155,0.34906
7.2,0.31389,0.32817,0.34864,0.31779,0.27973,0.31568,0.26353,0.26178,0.27553,0.27611,0.25016,0.25561,0.22056,0.23837,0.25338,0.37193,0.3124,0.32453
7.3,0.33074,0.33804,0.32801,0.31384,0.25766,0.32911,0.27363,0.25092,0.26944,0.28206,0.2695,0.25119,0.2263,0.24871,0.26217,0.37424,0.29524,0.32727
7.4,0.33854,0.33142,0.34061,0.30785,0.27421,0.31827,0.27039,0.24911,0.25137,0.28386,0.28283,0.25644,0.20972,0.25255,0.2667,0.36315,0.29176,0.32099
7.5,0.32919,0.33916,0.35278,0.30377,0.27395,0.33536,0.27148,0.24934,0.25594,0.28189,0.27995,0.25771,0.2182,0.25201,0.26529,0.36503,0.29089,0.33611
7.6,0.33547,0.33807,0.34404,0.32085,0.27398,0.33069,0.27202,0.24305,0.25014,0.28768,0.29528,0.25669,0.22276,0.24193,0.26084,0.34862,0.29716,0.33251
7.7,0.31956,0.35831,0.3628,0.32093,0.25827,0.31516,0.27465,0.24829,0.24684,0.28346,0.28335,0.26673,0.23013,0.24436,0.2741,0.36967,0.29152,0.31696
7.8,0.31123,0.33817,0.36557,0.31396,0.26555,0.31133,0.27486,0.25655,0.25734,0.27426,0.28287,0.25715,0.23881,0.25533,0.27082,0.36397,0.29257,0.32818
7.9,0.32327,0.34364,0.37807,0.30845,0.26298,0.30232,0.26853,0.25041,0.24563,0.2727,0.28314,0.26029,0.23815,0.24333,0.27519,0.3668,0.28123,0.33816
8.0,0.32268,0.36331,0.36835,0.30451,0.26348,0.3262,0.28047,0.25124,0.25798,0.28153,0.27365,0.26507,0.22854,0.2492,0.26757,0.37997,0.29141,0.33786
8.1,0.32188,0.36946,0.37656,0.30919,0.26875,0.32389,0.29138,0.24444,0.24794,0.29578,0.2933,0.27116,0.23706,0.25697,0.25772,0.35976,0.28755,0.33042
8.2,0.33841,0.36219,0.37829,0.31983,0.26039,0.30182,0.28476,0.24977,0.26396,0.28324,0.28497,0.26586,0.23298,0.26204,0.25377,0.35852,0.29396,0.34036
8.3,0.33114,0.37722,0.36752,0.30397,0.27241,0.33016,0.29421,0.25582,0.25347,0.29254,0.2846,0.26832,0.24827,0.26966,0.25871,0.36168,0.30047,0.34047
8.4,0.30586,0.3594,0.36929,0.30995,0.27453,0.35752,0.28408,0.25541,0.25842,0.28757,0.28211,0.26288,0.2473,0.25754,0.26181,0.34674,0.29887,0.33572
8.5,0.33462,0.35741,0.36254,0.31909,0.28413,0.34022,0.28815,0.24838,0.2501,0.2932,0.28635,0.27134,0.24296,0.26745,0.25714,0.33993,0.29482,0.33616
8.6,0.33643,0.3517,0.36784,0.31719,0.28835,0.33592,0.30309,0.26476,0.25927,0.28764,0.27467,0.26688,0.23389,0.26336,0.26177,0.3533,0.30337,0.34542
8.7,0.34519,0.35157,0.36896,0.3131,0.27789,0.33121,0.30231,0.26013,0.25954,0.28371,0.28873,0.2667,0.24064,0.2482,0.27021,0.37536,0.30577,0.34532
8.8,0.33312,0.36452,0.36845,0.31009,0.28951,0.33237,0.30206,0.26064,0.26183,0.27631,0.29201,0.24777,0.24549,0.25433,0.27056,0.38768,0.30871,0.36382
8.9,0.33287,0.34493,0.37934,0.30388,0.28554,0.33487,0.29744,0.26597,0.25508,0.27835,0.2864,0.25291,0.24511,0.24405,0.26745,0.36479,0.30594,0.3494
9.0,0.33255,0.35753,0.38654,0.29734,0.28299,0.34158,0.28572,0.26616,0.26877,0.28023,0.30119,0.25246,0.25451,0.24291,0.28685,0.36327,0.32047,0.34608
9.1,0.33392,0.34618,0.35989,0.3057,0.28356,0.34888,0.29897,0.25856,0.26685,0.28098,0.28858,0.26194,0.25348,0.24203,0.2676,0.36529,0.32551,0.35035
9.2,0.33518,0.36893,0.36661,0.31332,0.3053,0.36179,0.30305,0.25874,0.26742,0.29543,0.30621,0.25956,0.24743,0.24278,0.26814,0.37116,0.3203,0.33634
9.3,0.33143,0.3565,0.37637,0.31425,0.30018,0.33692,0.29119,0.25068,0.27408,0.28816,0.29754,0.25577,0.25512,0.25069,0.26719,0.36017,0.3143,0.35713
9.4,0.32277,0.34574,0.3635,0.28579,0.30175,0.33458,0.30505,0.25128,0.27261,0.28192,0.28118,0.26298,0.25096,0.24895,0.26875,0.36584,0.31177,0.35189
9.5,0.31811,0.36549,0.35935,0.29166,0.31591,0.36046,0.29172,0.25796,0.26614,0.2793,0.28807,0.26537,0.24951,0.25381,0.25532,0.37279,0.3092,0.35286
9.6,0.32947,0.35452,0.35427,0.28986,0.29318,0.33737,0.29761,0.25592,0.2721,0.28319,0.28445,0.271,0.25294,0.25797,0.2682,0.35282,0.30409,0.3416
9.7,0.32887,0.36506,0.36311,0.27971,0.29873,0.33641,0.29935,0.26265,0.27585,0.29253,0.27331,0.26186,0.25104,0.25491,0.26746,0.35386,0.31257,0.35355
9.8,0.3048,0.35149,0.35591,0.30392,0.30869,0.33895,0.29541,0.2819,0.26731,0.29605,0.28644,0.26703,0.26199,0.2528,0.28144,0.3534,0.30783,0.34324
9.9,0.30678,0.35798,0.35574,0.29802,0.31851,0.34192,0.3005,0.26919,0.26779,0.284,0.29085,0.26311,0.26178,0.26704,0.25672,0.36471,0.32838,0.33381
10.0,0.32182,0.3484,0.36965,0.29414,0.31511,0.33841,0.28716,0.272,0.26829,0.27324,0.28412,0.28618,0.24558,0.27161,0.26017,0.37647,0.3246,0.34722
10.1,0.33462,0.34919,0.37397,0.30968,0.31299,0.34289,0.29621,0.27433,0.26787,0.27124,0.29708,0.26098,0.25453,0.27322,0.26387,0.37662,0.34029,0.34288
10.2,0.35455,0.33526,0.33711,0.31446,0.31895,0.3453,0.29187,0.27844,0.25734,0.27707,0.28518,0.2692,0.27056,0.26064,0.26252,0.3805,0.33287,0.33262
10.3,0.35046,0.3563,0.3514,0.29272,0.29975,0.33107,0.28353,0.28074,0.2685,0.29184,0.27847,0.27407,0.2574,0.25564,0.26647,0.37316,0.32571,0.33753
10.4,0.35014,0.35213,0.36248,0.29829,0.30615,0.32386,0.27376,0.27581,0.27451,0.29463,0.28374,0.27245,0.25683,0.26788,0.26569,0.37271,0.3218,0.33059
10.5,0.33071,0.3542,0.37119,0.29749,0.29941,0.32827,0.27148,0.27185,0.25984,0.27394,0.2783,0.2768,0.25133,0.2742,0.27896,0.37551,0.31796,0.3368
10.6,0.32931,0.3528,0.35516,0.2921,0.30692,0.33714,0.29477,0.27758,0.26384,0.30042,0.27615,0.27467,0.25504,0.2758,0.28632,0.38554,0.31582,0.35785
10.7,0.32408,0.34671,0.33885,0.29481,0.29823,0.3532,0.27707,0.27812,0.25234,0.28628,0.28212,0.2621,0.26135,0.28023,0.27286,0.37887,0.33548,0.35182
10.8,0.34556,0.36934,0.34409,0.28597,0.30186,0.33343,0.2858,0.26963,0.24984,0.29526,0.2855,0.26574,0.26049,0.2774,0.26827,0.35886,0.34008,0.32507
10.9,0.33769,0.3735,0.35838,0.29274,0.31312,0.34175,0.28373,0.27363,0.26128,0.28713,0.28304,0.2602,0.25868,0.27456,0.27503,0.37932,0.349,0.34371
11.0,0.3335,0.36547,0.37126,0.29499,0.3219,0.3466,0.27656,0.27018,0.25514,0.29071,0.27284,0.24989,0.27114,0.27199,0.26826,0.3855,0.33502,0.34408
11.1,0.32396,0.36551,0.37615,0.31351,0.28615,0.34771,0.26863,0.29105,0.25667,0.2914,0.2799,0.25261,0.2746,0.27745,0.26951,0.38448,0.33556,0.3434
11.2,0.31523,0.37176,0.35071,0.32093,0.3041,0.34528,0.27573,0.29756,0.27161,0.27648,0.27434,0.24809,0.26028,0.26081,0.27259,0.39471,0.32641,0.34034
11.3,0.32834,0.3626,0.37666,0.31459,0.29194,0.35491,0.28619,0.27828,0.2774,0.27037,0.28342,0.25602,0.26609,0.25992,0.27473,0.39055,0.33148,0.33003
11.4,0.32562,0.37303,0.37543,0.31305,0.30074,0.34801,0.29094,0.29299,0.27314,0.29131,0.28299,0.25061,0.25898,0.25932,0.27955,0.40279,0.34269,0.33781
11.5,0.33488,0.37219,0.36748,0.32401,0.2993,0.33433,0.29781,0.27782,0.28024,0.26905,0.28197,0.2544,0.25593,0.24855,0.28949,0.38626,0.34267,0.32437
11.6,0.32785,0.359,0.38247,0.32715,0.29951,0.33914,0.27893,0.26568,0.27651,0.26573,0.28806,0.26806,0.25998,0.25269,0.2989,0.38152,0.33051,0.32809
11.7,0.33849,0.34886,0.36491,0.31932,0.29018,0.32934,0.28116,0.27206,0.27552,0.25865,0.30073,0.26471,0.26787,0.25882,0.29408,0.38904,0.34201,0.33299
11.8,0.33146,0.3455,0.36115,0.32397,0.29275,0.32268,0.28289,0.26981,0.27854,0.28193,0.28784,0.2575,0.25645,0.26233,0.31061,0.39365,0.33366,0.33406
11.9,0.31007,0.35645,0.37658,0.32998,0.29193,0.32717,0.29702,0.27346,0.29056,0.29603,0.29829,0.25685,0.26092,0.26215,0.29512,0.41019,0.34005,0.32896
12.0,0.32693,0.37027,0.36743,0.322,0.2906,0.33247,0.29842,0.27968,0.28374,0.315,0.29604,0.25293,0.27057,0.24959,0.29487,0.40519,0.3451,0.35643
