time,ph1_1,ph1_2,ph1_3,ph3_1,ph3_2,ph3_3,ph5_1,ph5_2,ph5_3,ph7_1,ph7_2,ph7_3,ph9_1,ph9_2,ph9_3,ph11_1,ph11_2,ph11_3
0.0,0.00051,0.00051,0.00051,0.00051,0.00051,0.00051,0.0005,0.0005,0.0005,0.0005,0.0005,0.00051,0.00051,0.00051,0.00051,0.0005,0.0005,0.0005
0.1,0.24052,0.21658,0.23698,0.2574,0.27928,0.28679,0.19141,0.19094,0.19797,0.21009,0.20378,0.20988,0.21528,0.23593,0.22047,0.22312,0.20641,0.18599
0.2,0.31313,0.32266,0.31088,0.31381,0.38271,0.36474,0.20276,0.2282,0.2366,0.24473,0.22299,0.23981,0.21027,0.22945,0.25983,0.25458,0.23896,0.22546
0.3,0.35261,0.34951,0.34121,0.39429,0.43274,0.45447,0.23048,0.25491,0.24835,0.25184,0.21782,0.24182,0.23138,0.26768,0.25707,0.30478,0.27127,0.28881
0.4,0.41143,0.44964,0.42253,0.45522,0.47755,0.52886,0.24227,0.28723,0.26172,0.26692,0.25228,0.26393,0.24398,0.29351,0.27828,0.31781,0.32451,0.28834
0.5,0.47602,0.45882,0.44412,0.42123,0.50691,0.56491,0.27103,0.28061,0.25675,0.29301,0.25948,0.26679,0.25133,0.2712,0.26484,0.31187,0.36884,0.34093
0.6,0.47297,0.46272,0.50276,0.48491,0.49536,0.57562,0.27639,0.2936,0.27815,0.3119,0.26312,0.29224,0.27941,0.28654,0.2776,0.32198,0.45146,0.3293
0.7,0.50199,0.48308,0.56818,0.4866,0.46459,0.64405,0.27358,0.29195,0.27233,0.31084,0.27404,0.30609,0.29528,0.30564,0.26423,0.38077,0.43402,0.33216
0.8,0.58624,0.5201,0.56105,0.49364,0.49888,0.62046,0.2805,0.31293,0.30946,0.32147,0.29432,0.33601,0.28495,0.31277,0.28178,0.38955,0.47048,0.33278
0.9,0.65735,0.5455,0.58888,0.53723,0.50645,0.64552,0.31941,0.31267,0.32537,0.36659,0.33432,0.3487,0.31458,0.31745,0.31788,0.41567,0.47082,0.3352
1.0,0.68033,0.57131,0.5893,0.4975,0.51766,0.7629,0.30171,0.31917,0.34573,0.33608,0.33593,0.35595,0.3196,0.3257,0.31453,0.44187,0.48254,0.33632
1.1,0.68449,0.57515,0.56387,0.52862,0.533,0.75677,0.31644,0.34614,0.35897,0.33075,0.30545,0.31273,0.31392,0.33061,0.2923,0.46816,0.50373,0.35462
1.2,0.63199,0.61751,0.59603,0.54792,0.53816,0.76027,0.31394,0.30963,0.36544,0.36424,0.28217,0.31585,0.32671,0.33003,0.29689,0.53504,0.50375,0.36705
1.3,0.69352,0.63393,0.59231,0.64743,0.55884,0.79619,0.31357,0.31566,0.34895,0.4087,0.29768,0.3191,0.33858,0.31922,0.30209,0.6389,0.52373,0.40077
1.4,0.61926,0.61218,0.65374,0.59874,0.54564,0.82036,0.35037,0.29435,0.35006,0.39812,0.31092,0.36135,0.32771,0.30231,0.27573,0.69512,0.53755,0.42964
1.5,0.71971,0.62648,0.68329,0.57957,0.54784,0.85154,0.32987,0.32486,0.31017,0.42481,0.32955,0.34133,0.32075,0.31225,0.28158,0.7115,0.55487,0.48306
1.6,0.76262,0.63914,0.71062,0.61665,0.573,0.87063,0.31874,0.32785,0.33163,0.44464,0.30007,0.35214,0.32181,0.33662,0.30173,0.72275,0.57901,0.44472
1.7,0.79135,0.63178,0.71769,0.6276,0.57444,0.92013,0.31981,0.37145,0.32045,0.47134,0.33104,0.35032,0.33191,0.3647,0.31142,0.727,0.61532,0.48251
1.8,0.7773,0.63654,0.70922,0.62496,0.60255,0.97379,0.32942,0.33201,0.34592,0.47802,0.34078,0.35044,0.3331,0.36647,0.33257,0.69206,0.62883,0.51998
